path	kind	loc	symbols	included_by_project_yml	included_by_xcode_build	app_reachable_or_build_included	referenced_by_swift	verdict	evidence	last_commit	last_commit_date	last_author
ui/Sources/Core/RetryBackoff.swift	swift	50	RetryBackoff	yes	yes	yes	ui/RetryBackoff.swift;ui/Sources/Services/BackendManager.swift;ui/Sources/Services/EventStreamClient.swift;ui/Sources/Services/SentinelAPIClient.swift;ui/Tests/Sources/TestRunner/CriticalPathTests.swift	UI_LIVE	included_by_project_yml; included_by_xcode_build; app_reachable_or_build_included; referenced_by=ui/RetryBackoff.swift,ui/Sources/Services/BackendManager.swift,ui/Sources/Services/EventStreamClient.swift,ui/Sources/Services/SentinelAPIClient.swift,ui/Tests/Sources/TestRunner/CriticalPathTests.swift; identical_duplicate_content; duplicate_basename	39b3f13	2026-01-11	Jbase16
ui/Sources/Core/ScanProjection.swift	swift	191	ScanProjection	yes	yes	yes	ui/Sources/Core/AppReducer.swift	UI_LIVE	included_by_project_yml; included_by_xcode_build; app_reachable_or_build_included; referenced_by=ui/Sources/Core/AppReducer.swift	53c0f24	2025-12-21	Jbase16
ui/Sources/Graph/GraphRenderer.swift	swift	857	GraphRenderer;EventType;Event;Node;Uniforms;EdgeData	yes	yes	yes	ui/Sources/Core/AppReducer.swift;ui/Sources/Core/ScanProjection.swift;ui/Sources/Graph/NeuralGraphView.swift;ui/Sources/Services/CortexStream.swift;ui/Sources/Services/EventStreamClient.swift;ui/Sources/Views/Graph/GraphModels.swift;ui/Tests/Sources/TestRunner/CriticalPathTests.swift	UI_LIVE	included_by_project_yml; included_by_xcode_build; app_reachable_or_build_included; referenced_by=ui/Sources/Core/AppReducer.swift,ui/Sources/Core/ScanProjection.swift,ui/Sources/Graph/NeuralGraphView.swift,ui/Sources/Services/CortexStream.swift,ui/Sources/Services/EventStreamClient.swift,ui/Sources/Views/Graph/GraphModels.swift	5535a75	2026-02-09	Jbase16
ui/Sources/Graph/NeuralGraphView.swift	swift	505	GraphLabel;NeuralGraphView;Coordinator;InteractiveGraphContainer;FixImpactPanel	yes	yes	yes	ui/Sources/Views/Graph/NetworkGraphView.swift;ui/Sources/Views/Navigation/TerminalView.swift	UI_LIVE	included_by_project_yml; included_by_xcode_build; app_reachable_or_build_included; referenced_by=ui/Sources/Views/Graph/NetworkGraphView.swift,ui/Sources/Views/Navigation/TerminalView.swift	2be5b75	2026-02-09	Jbase16
ui/Sources/Graph/Pressure/PressureShader.metal	metal	22		yes	yes	no		UI_LIVE_RESOURCE	included_by_project_yml; included_by_xcode_build	df3efd3	2026-01-08	Jbase16
ui/Sources/Graph/Shaders.metal	metal	149		yes	yes	no		UI_LIVE_RESOURCE	included_by_project_yml; included_by_xcode_build	724d5cd	2026-01-08	Jbase16
ui/Sources/Models/AnyCodable.swift	swift	78	AnyCodable	yes	yes	yes	ui/Sources/Graph/GraphRenderer.swift;ui/Sources/Models/HelixAppState.swift;ui/Sources/Models/SharedModels.swift;ui/Sources/Services/EventStreamClient.swift;ui/Sources/Services/GhostAPIClient.swift;ui/Tests/Sources/TestRunner/CriticalPathTests.swift	UI_LIVE	included_by_project_yml; included_by_xcode_build; app_reachable_or_build_included; referenced_by=ui/Sources/Graph/GraphRenderer.swift,ui/Sources/Models/HelixAppState.swift,ui/Sources/Models/SharedModels.swift,ui/Sources/Services/EventStreamClient.swift,ui/Sources/Services/GhostAPIClient.swift,ui/Tests/Sources/TestRunner/CriticalPathTests.swift	6baf32d	2026-01-08	Jbase16
ui/Sources/Models/FindingModels.swift	swift	344	FindingDTO;CodingKeys;DuplicateInfo;CodingKeys;BountyFindingReport;CodingKeys;BountyReportResponse;CodingKeys;SentinelResults;CodingKeys;ScanSummary;CodingKeys;ResultsSummary;ResultCounts;CodingKeys;Killchain;CodingKeys;EvidenceSummary;CodingKeys;JSONValue;InstallResult;SSEEvent;LogBatch;EngineStatus;CodingKeys;ToolStatus;CodingKeys;ScanStateDTO;CodingKeys;AIStatus;CodingKeys;CircuitBreakerState;CodingKeys;AIStatusResponse;CodingKeys;APIError	yes	yes	yes	ui/Sources/Models/HelixAppState.swift;ui/Sources/Models/PressureGraphModels.swift;ui/Sources/Models/ToolMetadataModels.swift;ui/Sources/Services/CortexStream.swift;ui/Sources/Services/FoundryAPIClient.swift;ui/Sources/Services/GhostAPIClient.swift;ui/Sources/Services/SentinelAPIClient.swift;ui/Sources/Services/VerifyAPIClient.swift;ui/Sources/Views/Components/StatusComponents.swift;ui/Sources/Views/Reporting/BountyReportView.swift;ui/Sources/Views/Scan/ScanControlView.swift;ui/Sources/Views/ToolsBankView.swift	UI_LIVE	included_by_project_yml; included_by_xcode_build; app_reachable_or_build_included; referenced_by=ui/Sources/Models/HelixAppState.swift,ui/Sources/Models/PressureGraphModels.swift,ui/Sources/Models/ToolMetadataModels.swift,ui/Sources/Services/CortexStream.swift,ui/Sources/Services/FoundryAPIClient.swift,ui/Sources/Services/GhostAPIClient.swift	b0c3125	2026-02-23	Jbase16
ui/Sources/Models/HelixAppState.swift	swift	1203	ScanMode;HelixAppState;PendingAction;ReportGenerateResponse;PoCResponse;AnalysisCaps;TopologyRequest;PathResult;TopologyResponse;InsightRequest;InsightClaim;InsightResponse;GraphDataDTO;NodeDTO;EdgeDTO;CortexClient	yes	yes	yes	ui/Sources/Graph/NeuralGraphView.swift;ui/Sources/SentinelForgeApp.swift;ui/Sources/Services/EventStreamClient.swift;ui/Sources/Services/LLMService.swift;ui/Sources/Services/SentinelAPIClient.swift;ui/Sources/Views/Audit/AuditFeedView.swift;ui/Sources/Views/Components/IdentityStatusView.swift;ui/Sources/Views/Dashboard/DashboardView.swift;ui/Sources/Views/Graph/NetworkGraphView.swift;ui/Sources/Views/MainWindowView.swift;ui/Sources/Views/Navigation/ChatView.swift;ui/Sources/Views/Report/ReportComposerView.swift;ui/Sources/Views/Reporting/BountyReportView.swift;ui/Sources/Views/Reporting/ReportView.swift;ui/Sources/Views/Scan/ActionRequestView.swift;ui/Sources/Views/Scan/ScanControlView.swift;ui/Sources/Views/ToolsBankView.swift;ui/Tests/Sources/TestRunner/CriticalPathTests.swift	UI_LIVE	included_by_project_yml; included_by_xcode_build; app_reachable_or_build_included; referenced_by=ui/Sources/Graph/NeuralGraphView.swift,ui/Sources/SentinelForgeApp.swift,ui/Sources/Services/EventStreamClient.swift,ui/Sources/Services/LLMService.swift,ui/Sources/Services/SentinelAPIClient.swift,ui/Sources/Views/Audit/AuditFeedView.swift	5f46ae0	2026-05-21	Jbase16
ui/Sources/Models/OperationalStateModels.swift	swift	36	P0Alert;WAFStatus;CapabilityBudgetSnapshot;CapabilityGateSnapshot	yes	yes	yes	ui/Sources/Models/HelixAppState.swift;ui/Sources/Views/Components/OperationalAlertBanners.swift;ui/Sources/Views/Scan/ScanControlView.swift	UI_LIVE	included_by_project_yml; included_by_xcode_build; app_reachable_or_build_included; referenced_by=ui/Sources/Models/HelixAppState.swift,ui/Sources/Views/Components/OperationalAlertBanners.swift,ui/Sources/Views/Scan/ScanControlView.swift	e583193	2026-02-14	Jbase16
